label,kepid,kepoi_name,label_str,period,duration_hr
1,10797460,K00752.02,CONFIRMED,54.4183827,4.507
2,10811496,K00753.01,CANDIDATE,19.89913995,1.7822
1,10797460,K00752.01,CONFIRMED,9.48803557,2.9575
1,10854555,K00755.01,CONFIRMED,2.525591777,1.6545
0,10848459,K00754.01,FALSE POSITIVE,1.736952453,2.40641
1,10872983,K00756.01,CONFIRMED,11.09432054,4.5945
1,10872983,K00756.02,CONFIRMED,4.13443512,3.1402
1,10872983,K00756.03,CONFIRMED,2.56658897,2.429
0,6721123,K00114.01,FALSE POSITIVE,7.36178958,5.022
0,10464078,K00743.01,FALSE POSITIVE,19.40393776,12.2155
1,10910878,K00757.01,CONFIRMED,16.06864674,3.5347
1,10984090,K00112.02,CONFIRMED,3.709214104,2.6302
0,10419211,K00742.01,FALSE POSITIVE,11.521446064,3.6399
1,6922244,K00010.01,CONFIRMED,3.522498429,3.19843
1,11446443,K00001.01,CONFIRMED,2.470613377,1.74319
1,10666592,K00002.01,CONFIRMED,2.204735417,3.88864
1,10526549,K00746.01,CONFIRMED,9.27358173,3.2875
1,10583066,K00747.01,CONFIRMED,6.02930329,1.5821
0,10583180,K00748.01,FALSE POSITIVE,2.696370652,3.6129
1,10601284,K00749.03,CONFIRMED,8.10904807,3.596
0,10485250,K00745.01,FALSE POSITIVE,16.46983774,9.4378
1,10601284,K00749.01,CONFIRMED,5.349553819,3.0278
1,10601284,K00749.02,CONFIRMED,3.94105221,2.5984
1,10910878,K00757.02,CONFIRMED,41.19725502,4.6297
1,10910878,K00757.03,CONFIRMED,6.252962249,2.5819
1,10662202,K00750.01,CONFIRMED,21.67699193,3.4555
1,11460018,K00769.01,CONFIRMED,4.280963604,2.875
1,10987985,K00758.01,CONFIRMED,16.01308419,3.2554
1,10682541,K00751.01,CONFIRMED,4.99677968,2.1717
1,11507101,K00773.01,CONFIRMED,38.3775486,5.588
0,11463211,K00770.01,FALSE POSITIVE,1.50635409,1.5155
1,11018648,K00759.01,CONFIRMED,32.62876672,4.7971
1,9579641,K00115.01,CONFIRMED,5.412203927,2.9472
1,11138155,K00760.01,CONFIRMED,4.959319244,2.22739
0,11152159,K00761.01,FALSE POSITIVE,2.701287801,3.3827
