curve_idx,true_label,pred_prob,pred_label,correct,cam_peak_bin,peak_in_window,cam_centre_mean,cam_outside_mean,cam_centre_ratio,snr
1291,1,0.5683380365371704,1,1,168,0,0.016411444172263145,0.03545420244336128,0.46289123467290977,clean
1593,1,0.5346146821975708,1,1,157,0,0.07583503425121307,0.116785429418087,0.6493535035624332,clean
1440,1,0.5184811949729919,1,1,146,0,0.23950108885765076,0.24811320006847382,0.9652895498452247,clean
305,1,0.5718307495117188,1,1,105,1,0.19434618949890137,0.20104260742664337,0.9666915004716082,clean
2415,1,0.48055028915405273,0,0,105,1,0.08608823269605637,0.06215566396713257,1.3850422206278246,clean
3672,1,0.5175877213478088,1,1,71,0,0.13942569494247437,0.13101939857006073,1.0641606191339088,clean
1975,1,0.5572554469108582,1,1,34,0,0.04073134437203407,0.08513277769088745,0.4784448562864802,clean
2175,1,0.39071646332740784,0,0,44,0,0.12627488374710083,0.10242785513401031,1.2328176866899505,clean
841,1,0.5618648529052734,1,1,52,0,0.13810770213603973,0.12649329006671906,1.0918183181496146,clean
1445,1,0.5347435474395752,1,1,2,0,0.16320626437664032,0.12252591550350189,1.3320141325680153,clean
1104,1,0.5577853322029114,1,1,30,0,0.09549137204885483,0.10180947929620743,0.9379417646525022,clean
2109,1,0.534753143787384,1,1,164,0,0.2289106249809265,0.16123607754707336,1.419723267063866,clean
1376,1,0.49332761764526367,0,0,75,0,0.13431130349636078,0.1589992344379425,0.8447291933439505,clean
224,1,0.6025897264480591,1,1,18,0,0.08368633687496185,0.09940614551305771,0.8418627241244538,clean
2402,1,0.5650099515914917,1,1,107,1,0.3286990821361542,0.2227848768234253,1.4754101448392876,clean
1621,1,0.5945534706115723,1,1,121,0,0.14107732474803925,0.15770001709461212,0.8945929011375497,clean
1561,1,0.5779615044593811,1,1,111,1,0.06235929951071739,0.05339708924293518,1.1678405830063507,clean
2344,1,0.5187021493911743,1,1,0,0,0.12754978239536285,0.11080322414636612,1.1511377206451872,clean
623,1,0.48994046449661255,0,0,0,0,0.18125519156455994,0.21412412822246552,0.8464958368039937,clean
2576,1,0.4767811596393585,0,0,95,1,0.20822268724441528,0.21314847469329834,0.9768903004120774,clean
1699,1,0.5403542518615723,1,1,93,1,0.09585944563150406,0.1161389946937561,0.8253854584364083,clean
2533,1,0.6054697632789612,1,1,173,0,0.13364937901496887,0.2479589432477951,0.5389979965006861,clean
546,1,0.42208239436149597,0,0,105,1,0.17837946116924286,0.12175445258617401,1.4650753441007671,clean
2131,1,0.5400320291519165,1,1,2,0,0.06824386864900589,0.15639106929302216,0.4363667605435523,clean
2871,1,0.12524007260799408,0,0,49,0,0.09101339429616928,0.2480742633342743,0.3668796166280848,clean
2945,1,0.4742752015590668,0,0,87,1,0.3010959029197693,0.28764528036117554,1.0467611082444799,clean
1396,1,0.2644055485725403,0,0,196,0,0.17491288483142853,0.14802299439907074,1.1816601449316793,clean
326,1,0.5658277273178101,1,1,65,0,0.007667665835469961,0.03246305137872696,0.236196634261197,clean
2617,1,0.2630925476551056,0,0,79,0,0.2856368124485016,0.32423338294029236,0.8809605015023905,clean
3155,1,0.5387452840805054,1,1,0,0,0.13927724957466125,0.1258021593093872,1.1071132583742223,clean
1938,1,0.5235470533370972,1,1,57,0,0.05617406964302063,0.1217612475156784,0.4613460043789993,clean
1984,1,0.5205957293510437,1,1,30,0,0.434551477432251,0.478750616312027,0.9076781387833233,clean
2259,1,0.5895124077796936,1,1,69,0,0.2267395406961441,0.1963062584400177,1.155029548969423,clean
1449,1,0.3066882789134979,0,0,113,1,0.28802114725112915,0.20374169945716858,1.4136582441489633,clean
