model,snr,precision,recall,f1,roc_auc,pr_auc,time_s,precision_fp,recall_fp,f1_fp,precision_conf,recall_conf,f1_conf,best_epoch
lr,clean,0.5641,0.5677,0.5596,0.6069,0.4895,0.7,0.6774,0.5621,0.6144,0.4508,0.5732,0.5047,
rf,clean,0.6389,0.5842,0.5713,0.7437,0.5954,1.1,0.6629,0.891,0.7602,0.6149,0.2774,0.3824,
cnn,clean,0.5531,0.5509,0.5512,0.6071,0.4515,7.7,0.6516,0.6902,0.6704,0.4545,0.4116,0.432,4.0
lr,snr_high,0.5495,0.5522,0.545,0.6103,0.4876,0.5,0.6628,0.5526,0.6027,0.4361,0.5518,0.4872,
rf,snr_high,0.6485,0.5822,0.5651,0.7524,0.6085,1.1,0.6606,0.9082,0.7649,0.6364,0.2561,0.3652,
cnn,snr_high,0.5218,0.5229,0.5105,0.5257,0.3923,4.9,0.638,0.4818,0.549,0.4057,0.564,0.4719,3.0
lr,snr_medium,0.5774,0.5814,0.5751,0.6288,0.5022,0.5,0.6874,0.5927,0.6366,0.4675,0.5701,0.5137,
rf,snr_medium,0.62,0.5479,0.5085,0.7307,0.5832,1.1,0.6399,0.9312,0.7586,0.6,0.1646,0.2584,
cnn,snr_medium,0.1927,0.5,0.2782,0.5665,0.4142,4.4,0.0,0.0,0.0,0.3854,1.0,0.5564,2.0
lr,snr_low,0.5509,0.5537,0.5444,0.5868,0.4481,0.5,0.6659,0.5373,0.5947,0.4359,0.5701,0.4941,
rf,snr_low,0.5223,0.503,0.4104,0.6421,0.488,1.1,0.616,0.9694,0.7533,0.4286,0.0366,0.0674,
cnn,snr_low,0.3073,0.5,0.3806,0.5085,0.3836,4.2,0.6146,1.0,0.7613,0.0,0.0,0.0,1.0
lr,snr_very_low,0.5372,0.5392,0.5327,0.5834,0.4634,0.5,0.6507,0.5449,0.5931,0.4237,0.5335,0.4723,
rf,snr_very_low,0.558,0.5028,0.3946,0.5864,0.4508,0.9,0.6159,0.9904,0.7595,0.5,0.0152,0.0296,
cnn,snr_very_low,0.6439,0.5193,0.3277,0.5278,0.3989,6.5,0.8929,0.0478,0.0907,0.3949,0.9909,0.5647,7.0
lstm,clean,0.3073,0.5,0.3806,0.4895,0.3766,11.6,0.6146,1.0,0.7613,0.0,0.0,0.0,1.0
lstm,snr_high,0.3073,0.5,0.3806,0.4904,0.377,11.8,0.6146,1.0,0.7613,0.0,0.0,0.0,1.0
lstm,snr_medium,0.3073,0.5,0.3806,0.4906,0.3762,11.6,0.6146,1.0,0.7613,0.0,0.0,0.0,1.0
lstm,snr_low,0.3073,0.5,0.3806,0.5002,0.3801,11.7,0.6146,1.0,0.7613,0.0,0.0,0.0,1.0
lstm,snr_very_low,0.3073,0.5,0.3806,0.5072,0.381,11.6,0.6146,1.0,0.7613,0.0,0.0,0.0,1.0
cnn_lstm,snr_high,0.6789,0.6514,0.6553,0.7642,0.6155,25.0,0.7138,0.8394,0.7715,0.6441,0.4634,0.539,23.0
cnn_lstm,clean,0.6884,0.6577,0.662,0.7788,0.6473,19.2,0.7173,0.8489,0.7776,0.6595,0.4665,0.5464,21.0
cnn_lstm,snr_medium,0.6235,0.5217,0.4437,0.751,0.6162,17.1,0.6253,0.9732,0.7614,0.6216,0.0701,0.126,19.0
cnn_lstm,snr_low,0.6074,0.556,0.5309,0.6979,0.5427,17.8,0.6456,0.8987,0.7514,0.5691,0.2134,0.3104,1.0
cnn_lstm,snr_very_low,0.5318,0.5113,0.4559,0.6317,0.4768,18.3,0.6205,0.9159,0.7398,0.443,0.1067,0.172,18.0
